,index,Nature mutation,Type de voie,Voie,Code postal,Commune,Code departement,1er lot,Surface Carrez du 1er lot,Nombre de lots,Type local,Surface reelle bati,Nombre pieces principales,lon,lat,Valeur fonciere
74,249567,Vente,RUE,DE LA NEVA,75008,PARIS 08,75,168.0,"16,20",3,Appartement,21.0,1.0,2.300361,48.877816,"195000,00"
75,249575,Vente,RUE,SAINT MARTIN,75003,PARIS 03,75,50.0,"31,58",1,Appartement,31.0,1.0,2.3549740000000003,48.868156,"253800,00"
76,249576,Vente,RUE,DES TOURNELLES,75003,PARIS 03,75,50.0,"179,80",3,Appartement,170.0,2.0,2.367403,48.856612,"1650000,00"
78,249588,Vente,RUE,SAINT HONORE,75001,PARIS 01,75,5.0,"24,65",1,Appartement,27.0,1.0,2.340421,48.861951,"300000,00"
79,249589,Vente,RUE,CHARLOT,75003,PARIS 03,75,10.0,"29,44",2,Appartement,28.0,1.0,2.361832,48.862179,"235000,00"
81,249602,Vente,AV,PERCIER,75008,PARIS 08,75,12.0,"50,35",2,Appartement,53.0,2.0,2.314634,48.874037,"570000,00"
82,249604,Vente,BD,DES BATIGNOLLES,75008,PARIS 08,75,39.0,"13,25",1,Appartement,16.0,1.0,2.324751,48.88277100000001,"100000,00"
83,249605,Vente,RUE,DE TEHERAN,75008,PARIS 08,75,15.0,"24,09",2,Appartement,27.0,2.0,2.312668,48.875721,"300800,00"
84,249610,Vente,RUE,CHARLOT,75003,PARIS 03,75,128.0,"56,50",1,Appartement,60.0,3.0,2.364147,48.86431500000001,"590000,00"
85,249613,Vente,RUE,LAVOISIER,75008,PARIS 08,75,11.0,"128,22",2,Appartement,130.0,5.0,2.322177,48.87369,"1493350,00"
87,249616,Vente,RUE,DE SAINT PETERSBOURG,75008,PARIS 08,75,12.0,"83,76",1,Appartement,82.0,4.0,2.325378,48.881305,"500000,00"
88,249618,Vente,RUE,DE MIROMESNIL,75008,PARIS 08,75,2.0,"129,52",1,Appartement,133.0,6.0,2.315363,48.879609,"1314518,00"
91,249648,Vente,PL,SAINTE OPPORTUNE,75001,PARIS 01,75,6.0,"44,90",1,Appartement,49.0,2.0,2.347481,48.859571,"415000,00"
92,249652,Vente,RUE,SAINT DENIS,75001,PARIS 01,75,10.0,"17,25",1,Appartement,20.0,1.0,2.348464,48.860307,"211200,00"
93,249661,Vente,RUE,MESLAY,75003,PARIS 03,75,58.0,"22,00",1,Appartement,22.0,1.0,2.361098,48.8676,"193000,00"
94,249662,Vente,RUE,RAMBUTEAU,75003,PARIS 03,75,36.0,"33,10",2,Appartement,38.0,2.0,2.354176,48.861056,"365000,00"
96,249666,Vente,RUE,ARSENE HOUSSAYE,75008,PARIS 08,75,10.0,"218,49",2,Appartement,210.0,7.0,2.299369,48.874526,"2300000,00"
97,249671,Vente,RUE,DE L ISLY,75008,PARIS 08,75,6.0,"96,39",1,Appartement,92.0,4.0,2.325593,48.874739,"1050000,00"
98,249672,Vente,RUE,DE RICHELIEU,75001,PARIS 01,75,54.0,"14,82",1,Appartement,35.0,2.0,2.336257,48.864687,"230000,00"
99,249674,Vente,RUE,NOTRE DAME DE NAZARETH,75003,PARIS 03,75,28.0,"21,20",1,Appartement,23.0,1.0,2.355732,48.867773,"250000,00"
101,249687,Vente,RUE,DE LA FERRONNERIE,75001,PARIS 01,75,35.0,"11,97",1,Appartement,14.0,1.0,2.34687,48.86023,"130000,00"
102,249688,Vente,RUE,SAINTE ANASTASE,75003,PARIS 03,75,10.0,"31,14",2,Appartement,27.0,3.0,2.363377,48.85981,"300000,00"
103,249689,Vente,RUE,DU TEMPLE,75003,PARIS 03,75,18.0,"40,26",1,Appartement,38.0,3.0,2.3587,48.863941,"280000,00"
104,249691,Vente,RUE,PIERRE LE GRAND,75008,PARIS 08,75,30.0,"9,12",1,Appartement,15.0,1.0,2.301435,48.878211,"120000,00"
105,249693,Vente,RUE,DE ROME,75008,PARIS 08,75,17.0,"21,02",1,Appartement,28.0,1.0,2.321537,48.880382,"250000,00"
106,249694,Vente,RUE,JEAN JACQUES ROUSSEAU,75001,PARIS 01,75,36.0,"10,65",2,Appartement,11.0,1.0,2.341067,48.862847,"110000,00"
107,249703,Vente,RUE,DE LABORDE,75008,PARIS 08,75,83.0,"47,29",1,Appartement,46.0,2.0,2.321642,48.875827,"513600,00"
108,249742,Vente,RUE,DE MIROMESNIL,75008,PARIS 08,75,14.0,"69,00",2,Appartement,69.0,4.0,2.315306,48.880346,"613000,00"
110,249748,Vente,RUE,MICHEL LE COMTE,75003,PARIS 03,75,36.0,"58,03",1,Appartement,73.0,2.0,2.355277,48.862417,"695000,00"
113,249765,Vente,RUE,DE TURIN,75008,PARIS 08,75,4.0,"102,01",1,Appartement,100.0,3.0,2.324426,48.882589,"1070000,00"
114,249766,Vente,RUE,DE SAINT PETERSBOURG,75008,PARIS 08,75,17.0,"12,47",1,Appartement,13.0,1.0,2.325498,48.881454,"120000,00"
115,249767,Vente,RUE,SAINT MARTIN,75003,PARIS 03,75,8.0,"53,64",1,Appartement,56.0,3.0,2.355051,48.868304,"606000,00"
116,249773,Vente,RUE,DU FOIN,75003,PARIS 03,75,40.0,"38,53",1,Appartement,37.0,2.0,2.364943,48.857058,"415000,00"
117,249778,Vente,RUE,DE TURIN,75008,PARIS 08,75,29.0,"26,79",2,Appartement,35.0,2.0,2.324426,48.882589,"280225,00"
118,249779,Vente,RUE,AU MAIRE,75003,PARIS 03,75,13.0,"21,93",1,Appartement,25.0,2.0,2.356336,48.8646,"245280,00"
119,249787,Vente,RUE,DE TURIN,75008,PARIS 08,75,45.0,"46,19",2,Appartement,48.0,3.0,2.324405,48.881683,"503623,00"
120,249793,Vente,RUE,SAINT HONORE,75001,PARIS 01,75,27.0,"27,71",1,Appartement,38.0,1.0,2.340421,48.861951,"275000,00"
121,249801,Vente,RUE,DE SAINT PETERSBOURG,75008,PARIS 08,75,14.0,"22,34",1,Appartement,24.0,1.0,2.324393,48.880089,"207160,00"
122,249809,Vente,RUE,DE LISBONNE,75008,PARIS 08,75,18.0,"32,81",1,Appartement,32.0,1.0,2.3137060000000003,48.877743,"360000,00"
123,249851,Vente,RUE,DES LOMBARDS,75001,PARIS 01,75,10.0,"36,04",1,Appartement,36.0,1.0,2.348398,48.859711,"393000,00"
124,249852,Vente,RUE,DU VERTBOIS,75003,PARIS 03,75,2.0,"97,88",2,Appartement,100.0,4.0,2.359132,48.86682,"1000000,00"
125,249855,Vente,RUE,DE POITOU,75003,PARIS 03,75,15.0,"25,18",1,Appartement,32.0,2.0,2.362613,48.86155,"300000,00"
126,249856,Vente,RUE,DE LA BIENFAISANCE,75008,PARIS 08,75,139.0,"48,90",1,Appartement,47.0,3.0,2.321028,48.87673,"448000,00"
128,249870,Vente,RUE,DE BERNE,75008,PARIS 08,75,1.0,"42,74",4,Appartement,40.0,2.0,2.323205,48.88079000000001,"430000,00"
129,249878,Vente,RUE,BARBETTE,75003,PARIS 03,75,12.0,"42,84",1,Appartement,45.0,2.0,2.3602950000000003,48.859101,"300000,00"
130,249881,Vente,RUE,SAINT HONORE,75001,PARIS 01,75,23.0,"29,60",3,Appartement,28.0,2.0,2.332087,48.86477,"300000,00"
133,249914,Vente,RUE,DE BEAUCE,75003,PARIS 03,75,58.0,"33,06",2,Appartement,45.0,2.0,2.360817,48.862674,"420000,00"
136,249930,Vente,RUE,LA BOETIE,75008,PARIS 08,75,18.0,"77,96",2,Appartement,101.0,3.0,2.313013,48.873526,"960000,00"
138,249938,Vente,RUE,DES FILLES DU CALVAIRE,75003,PARIS 03,75,18.0,"31,92",1,Appartement,35.0,2.0,2.365456,48.862344,"360000,00"
139,249949,Vente,BD,DE SEBASTOPOL,75001,PARIS 01,75,14.0,"92,15",2,Appartement,92.0,3.0,2.34876,48.859905,"1002000,00"
142,249963,Vente,RUE,LA BOETIE,75008,PARIS 08,75,52.0,"33,55",1,Appartement,37.0,1.0,2.312615,48.873459,"423000,00"
143,249964,Vente,RUE,CROIX DES PETITS CHAMPS,75001,PARIS 01,75,83.0,"53,42",1,Appartement,69.0,2.0,2.340018,48.863714,"668270,00"
145,249973,Vente,RUE,SAINT HONORE,75001,PARIS 01,75,6.0,"25,20",1,Appartement,27.0,1.0,2.344139,48.861117,"250000,00"
146,249978,Vente,RUE,MICHEL LE COMTE,75003,PARIS 03,75,20.0,"27,04",1,Appartement,46.0,4.0,2.355973,48.862218,"377530,00"
147,249979,Vente,RUE,DE SAINTONGE,75003,PARIS 03,75,40.0,"41,51",1,Appartement,50.0,3.0,2.362025,48.861316,"480000,00"
148,249981,Vente,RUE,D AMSTERDAM,75008,PARIS 08,75,13.0,"43,10",1,Appartement,46.0,2.0,2.326927,48.879842,"517000,00"
149,249983,Vente,RUE,DU PONT AUX CHOUX,75003,PARIS 03,75,32.0,"35,89",1,Appartement,40.0,2.0,2.366212,48.861047,"380000,00"
150,249991,Vente,RUE,DU TEMPLE,75003,PARIS 03,75,20.0,"53,26",1,Appartement,53.0,3.0,2.360548,48.865723,"560000,00"
151,249993,Vente,RUE,AU MAIRE,75003,PARIS 03,75,29.0,"16,00",2,Appartement,15.0,1.0,2.355109,48.864845,"145000,00"
153,249995,Vente,RUE,SAINT DENIS,75001,PARIS 01,75,12.0,"22,85",1,Appartement,25.0,1.0,2.348757,48.861237,"140000,00"
154,250004,Vente,RUE,DE LA RENAISSANCE,75008,PARIS 08,75,5.0,"120,69",1,Appartement,240.0,9.0,2.302601,48.86735,"1900000,00"
155,250005,Vente,RUE,DE LA RENAISSANCE,75008,PARIS 08,75,4.0,"119,12",1,Appartement,240.0,9.0,2.302601,48.86735,"1900000,00"
156,250006,Vente,RUE,DE ROME,75008,PARIS 08,75,50.0,"57,77",2,Appartement,60.0,3.0,2.321369,48.880698,"615600,00"
159,250019,Vente,RUE,DE POITOU,75003,PARIS 03,75,36.0,"58,00",1,Appartement,62.0,2.0,2.362103,48.861726,"349310,00"
160,250024,Vente,RUE,SAINTE OPPORTUNE,75001,PARIS 01,75,5.0,"51,90",1,Appartement,65.0,4.0,2.347356,48.860015,"625000,00"
164,250071,Vente,RUE,SAUVAL,75001,PARIS 01,75,10.0,"85,04",2,Appartement,107.0,5.0,2.342445,48.861711,"900000,00"
165,250073,Vente,RUE,MONTGOLFIER,75003,PARIS 03,75,100.0,"61,50",1,Appartement,60.0,1.0,2.357125,48.866005,"450000,00"
166,250087,Vente,RUE,DES HAUDRIETTES,75003,PARIS 03,75,35.0,"17,90",2,Appartement,22.0,1.0,2.35809,48.86137700000001,"220000,00"
167,250099,Vente,RUE,DU DOCTEUR LANCEREAUX,75008,PARIS 08,75,40.0,"13,70",1,Appartement,15.0,1.0,2.311306,48.876463,"137000,00"
168,250106,Vente,RUE,SAINT MARTIN,75003,PARIS 03,75,73.0,"34,08",1,Appartement,34.0,1.0,2.35508,48.868361,"362500,00"
169,250114,Vente,RUE,DES MATHURINS,75008,PARIS 08,75,115.0,"98,25",2,Appartement,109.0,3.0,2.323067,48.873329,"1162790,00"
170,250116,Vente,RUE,SAINT ROCH,75001,PARIS 01,75,20.0,"11,85",1,Appartement,15.0,1.0,2.331737,48.864737,"154889,00"
171,250117,Vente,RUE,MESLAY,75003,PARIS 03,75,31.0,"125,44",2,Appartement,124.0,4.0,2.357027,48.868261,"1395500,00"
173,250126,Vente,RUE,DU TEMPLE,75003,PARIS 03,75,42.0,"5,62",1,Appartement,6.0,1.0,2.362695,48.866862,"46000,00"
174,250134,Vente,RUE,DE TURENNE,75003,PARIS 03,75,99.0,"36,07",1,Appartement,45.0,2.0,2.36439,48.85867800000001,"461800,00"
175,250139,Vente,BD,MALESHERBES,75008,PARIS 08,75,13.0,"260,15",2,Appartement,260.0,6.0,2.316073,48.878225,"2620000,00"
176,250144,Vente,RUE,NOTRE DAME DE NAZARETH,75003,PARIS 03,75,43.0,"86,14",1,Appartement,88.0,4.0,2.359468,48.867343,"910000,00"
177,250145,Vente,RUE,DES PETITS CHAMPS,75001,PARIS 01,75,65.0,"28,01",1,Appartement,43.0,2.0,2.336653,48.86675,"310740,00"
178,250173,Vente,RUE,DE POITOU,75003,PARIS 03,75,13.0,"16,07",1,Appartement,20.0,2.0,2.362103,48.861726,"170000,00"
180,250178,Vente,RUE,DE PONTHIEU,75008,PARIS 08,75,48.0,"64,14",2,Appartement,74.0,2.0,2.305605,48.87205,"776300,00"
181,250187,Vente,RUE,MICHEL LE COMTE,75003,PARIS 03,75,3.0,"40,44",2,Appartement,44.0,2.0,2.3557,48.862388,"431000,00"
182,250192,Vente,RUE,DE MIROMESNIL,75008,PARIS 08,75,105.0,"145,56",2,Appartement,152.0,7.0,2.315934,48.872459,"1705100,00"
184,250196,Vente,RUE,SAINT DENIS,75001,PARIS 01,75,5.0,"63,70",1,Appartement,63.0,3.0,2.3494330000000003,48.862516,"592000,00"
185,250202,Vente,RUE,LA BOETIE,75008,PARIS 08,75,119.0,"262,02",1,Appartement,294.0,5.0,2.315052,48.873877,"2950000,00"
186,250205,Vente,RUE,SAINT MARTIN,75003,PARIS 03,75,67.0,"19,47",1,Appartement,21.0,1.0,2.3519520000000003,48.862373,"240000,00"
187,250206,Vente,RUE,DU FAUBOURG SAINT HONORE,75008,PARIS 08,75,28.0,"174,81",1,Appartement,190.0,5.0,2.309341,48.873504,"1650000,00"
188,250211,Vente,RUE,DES VERTUS,75003,PARIS 03,75,28.0,"14,39",1,Appartement,14.0,1.0,2.358006,48.864468,"130000,00"
189,250218,Vente,RUE,PORTEFOIN,75003,PARIS 03,75,320.0,"68,56",1,Appartement,70.0,2.0,2.360097,48.863637,"741500,00"
190,250219,Vente,RUE,DES GRAVILLIERS,75003,PARIS 03,75,10.0,"72,02",2,Appartement,75.0,3.0,2.357189,48.863735,"830000,00"
191,250221,Vente,RUE,BERTIN POIREE,75001,PARIS 01,75,110.0,"22,86",1,Appartement,23.0,2.0,2.344781,48.858493,"205000,00"
192,250222,Vente,RUE,BERGER,75001,PARIS 01,75,100201.0,"32,26",1,Appartement,36.0,1.0,2.345914,48.861333,"330000,00"
194,250230,Vente,RUE,SAINT HONORE,75001,PARIS 01,75,10.0,"41,12",2,Appartement,41.0,2.0,2.333641,48.864182,"360000,00"
195,250234,Vente,RUE,DE BERNE,75008,PARIS 08,75,20.0,"101,31",2,Appartement,102.0,4.0,2.323121,48.88088,"1082800,00"
197,250245,Vente,RUE,CHATEAUBRIAND,75008,PARIS 08,75,1.0,"29,25",1,Appartement,28.0,1.0,2.300844,48.873503,"290000,00"
198,250261,Vente,RUE,CHAPON,75003,PARIS 03,75,8.0,"51,89",1,Appartement,70.0,3.0,2.355985,48.863468,"760000,00"
200,250265,Vente,RUE,MICHEL LE COMTE,75003,PARIS 03,75,26.0,"31,06",1,Appartement,38.0,2.0,2.355277,48.862417,"412000,00"
203,250279,Vente,RUE,CHAPON,75003,PARIS 03,75,106.0,"36,41",2,Appartement,37.0,2.0,2.354348,48.863949,"420000,00"
