index,Code service CH,Reference document,1 Articles CGI,2 Articles CGI,3 Articles CGI,4 Articles CGI,5 Articles CGI,No disposition,Date mutation,Nature mutation,No voie,B/T/Q,Type de voie,Code voie,Voie,Code postal,Commune,Code departement,Code commune,Prefixe de section,Section,No plan,No Volume,1er lot,Surface Carrez du 1er lot,2eme lot,Surface Carrez du 2eme lot,3eme lot,Surface Carrez du 3eme lot,4eme lot,Surface Carrez du 4eme lot,5eme lot,Surface Carrez du 5eme lot,Nombre de lots,Code type local,Type local,Identifiant local,Surface reelle bati,Nombre pieces principales,Nature culture,Nature culture speciale,Surface terrain,lon,lat,code_IRIS,code_district_admin,code_district_custom,Valeur fonciere
249371,,,,,,,,1,1464,Vente,28.0,,RUE,6660,NUNGESSER ET COLI,75016,BOULOGNE-BILLANCOURT,92,12,,U,48,,29.0,"31,45",,,,,,,,,1,2.0,Appartement,,31.0,1.0,,,,2.251328,48.843146999999995,751166131.0,61.0,Auteuil Sud,"336000,00"
249373,,,,,,,,1,1487,Vente,5.0,,AV,3520,FERDINAND BUISSON,75016,BOULOGNE-BILLANCOURT,92,12,,BO,45,,16.0,,,,,,,,,,1,2.0,Appartement,,87.0,4.0,,,,2.254666,48.835344,751166131.0,61.0,Auteuil Sud,"702160,00"
249375,,,,,,,,1,1473,Vente,18.0,,RUE,6660,NUNGESSER ET COLI,75016,BOULOGNE-BILLANCOURT,92,12,,U,44,,18.0,,,,,,,,,,1,2.0,Appartement,,90.0,4.0,,,,2.25162,48.843742,751166131.0,61.0,Auteuil Sud,"932550,00"
249376,,,,,,,,1,1488,Vente,35.0,,AV,3520,FERDINAND BUISSON,75016,BOULOGNE-BILLANCOURT,92,12,,AS,81,,24.0,"87,40",,,,,,,,,1,2.0,Appartement,,80.0,4.0,,,,2.252551,48.837821999999996,751166131.0,61.0,Auteuil Sud,"675000,00"
249379,,,,,,,,1,1486,Vente,30.0,,RUE,6660,NUNGESSER ET COLI,75016,BOULOGNE-BILLANCOURT,92,12,,U,49,,10.0,"62,52",48.0,,,,,,,,2,2.0,Appartement,,70.0,2.0,,,,2.251244,48.842975,751166131.0,61.0,Auteuil Sud,"581000,00"
249380,,,,,,,,1,1499,Vente,11.0,,AV,3520,FERDINAND BUISSON,75016,BOULOGNE-BILLANCOURT,92,12,,BO,63,,155.0,,216.0,"27,01",,,,,,,2,2.0,Appartement,,29.0,1.0,,,,2.254359,48.835704,751166131.0,61.0,Auteuil Sud,"213000,00"
249382,,,,,,,,1,1254,Vente,10.0,,RUE,6195,D ORADOUR SUR GLANE,75015,ISSY-LES-MOULINEAUX,92,40,,AB,161,,56.0,"24,43",,,,,,,,,1,2.0,Appartement,,24.0,1.0,,,,2.28055,48.831885,751155732.0,57.0,Vaugirard-Parc des Expositions,"210300,00"
249385,,,,,,,,1,1257,Vente,10.0,,RUE,6195,D ORADOUR SUR GLANE,75015,ISSY-LES-MOULINEAUX,92,40,,AB,161,,230.0,"49,50",,,,,,,,,1,2.0,Appartement,,51.0,3.0,,,,2.28055,48.831885,751155732.0,57.0,Vaugirard-Parc des Expositions,"444000,00"
249389,,,,,,,,1,1254,Vente,10.0,,RUE,6195,D ORADOUR SUR GLANE,75015,ISSY-LES-MOULINEAUX,92,40,,AB,161,,72.0,"31,63",,,,,,,,,1,2.0,Appartement,,32.0,2.0,,,,2.28055,48.831885,751155732.0,57.0,Vaugirard-Parc des Expositions,"247000,00"
249390,,,,,,,,1,1260,Vente,10.0,,RUE,6195,D ORADOUR SUR GLANE,75015,ISSY-LES-MOULINEAUX,92,40,,AB,161,,214.0,"27,51",,,,,,,,,1,2.0,Appartement,,28.0,1.0,,,,2.28055,48.831885,751155732.0,57.0,Vaugirard-Parc des Expositions,"185250,00"
249393,,,,,,,,1,1269,Vente,10.0,,RUE,6195,D ORADOUR SUR GLANE,75015,ISSY-LES-MOULINEAUX,92,40,,AB,161,,14.0,"32,00",,,,,,,,,1,2.0,Appartement,,32.0,2.0,,,,2.28055,48.831885,751155732.0,57.0,Vaugirard-Parc des Expositions,"190000,00"
249395,,,,,,,,1,1274,Vente,10.0,,RUE,6195,D ORADOUR SUR GLANE,75015,ISSY-LES-MOULINEAUX,92,40,,AB,161,,191.0,"32,06",,,,,,,,,1,2.0,Appartement,,32.0,2.0,,,,2.28055,48.831885,751155732.0,57.0,Vaugirard-Parc des Expositions,"260000,00"
249396,,,,,,,,1,1361,Vente,10.0,,RUE,6195,D ORADOUR SUR GLANE,75015,ISSY-LES-MOULINEAUX,92,40,,AB,161,,104.0,,,,,,,,,,1,2.0,Appartement,,28.0,1.0,,,,2.28055,48.831885,751155732.0,57.0,Vaugirard-Parc des Expositions,"224780,00"
249403,,,,,,,,1,1419,Vente,10.0,,RUE,6195,D ORADOUR SUR GLANE,75015,ISSY-LES-MOULINEAUX,92,40,,AB,161,,166.0,"24,92",,,,,,,,,1,2.0,Appartement,,24.0,1.0,,,,2.28055,48.831885,751155732.0,57.0,Vaugirard-Parc des Expositions,"203000,00"
249404,,,,,,,,1,1415,Vente,10.0,,RUE,6195,D ORADOUR SUR GLANE,75015,ISSY-LES-MOULINEAUX,92,40,,AB,161,,155.0,"32,60",,,,,,,,,1,2.0,Appartement,,32.0,2.0,,,,2.28055,48.831885,751155732.0,57.0,Vaugirard-Parc des Expositions,"251674,64"
249406,,,,,,,,1,1515,Vente,10.0,,RUE,6195,D ORADOUR SUR GLANE,75015,ISSY-LES-MOULINEAUX,92,40,,AB,161,,236.0,"33,00",,,,,,,,,1,2.0,Appartement,,33.0,2.0,,,,2.28055,48.831885,751155732.0,57.0,Vaugirard-Parc des Expositions,"257000,00"
249409,,,,,,,,1,1519,Vente,10.0,,RUE,6195,D ORADOUR SUR GLANE,75015,ISSY-LES-MOULINEAUX,92,40,,AB,161,,162.0,"25,00",,,,,,,,,1,2.0,Appartement,,24.0,1.0,,,,2.28055,48.831885,751155732.0,57.0,Vaugirard-Parc des Expositions,"245000,00"
249411,,,,,,,,1,1519,Vente,10.0,,RUE,6195,D ORADOUR SUR GLANE,75015,ISSY-LES-MOULINEAUX,92,40,,AB,161,,49.0,"24,05",,,,,,,,,1,2.0,Appartement,,24.0,1.0,,,,2.28055,48.831885,751155732.0,57.0,Vaugirard-Parc des Expositions,"225000,00"
249413,,,,,,,,1,1407,Vente,10.0,,RUE,6195,D ORADOUR SUR GLANE,75015,ISSY-LES-MOULINEAUX,92,40,,AB,161,,194.0,"50,10",,,,,,,,,1,2.0,Appartement,,51.0,2.0,,,,2.28055,48.831885,751155732.0,57.0,Vaugirard-Parc des Expositions,"445000,00"
249414,,,,,,,,1,1321,Vente,17.0,,RUE,2999,DUPHOT,75001,PARIS 01,75,101,,BC,14,,21.0,"106,85",8.0,,,,,,,,2,2.0,Appartement,,112.0,3.0,,,,2.325456,48.868446,751010402.0,4.0,Vendôme,"1196000,00"
249419,,,,,,,,1,1477,Vente,4.0,,RUE,1021,BLONDEL,75003,PARIS 03,75,103,,AB,130,,12.0,"22,28",,,,,,,,,1,2.0,Appartement,,26.0,1.0,,,,2.354921,48.868528999999995,751030905.0,9.0,Arts et Métiers,"230000,00"
249422,,,,,,,,1,1399,Vente,4.0,,CITE,2996,DUPETIT THOUARS,75003,PARIS 03,75,103,,AG,72,,15.0,"42,68",,,,,,,,,1,2.0,Appartement,,45.0,2.0,,,,2.361982,48.86571,751031001.0,10.0,Enfants Rouges,"506800,00"
249423,,,,,,,,1,1399,Vente,79.0,,RUE,8291,DU ROCHER,75008,PARIS 08,75,108,,CG,60,,15.0,,31.0,"51,70",40.0,,,,,,3,2.0,Appartement,,55.0,3.0,,,,2.317605,48.880039000000004,751083204.0,32.0,Mairie,"565950,00"
